"keys","en","de","fr","es","del","fro","eo","den","fi"
"TITLE","1960 - 1980","1960 - 1980","1960 - 1980","1980 - 2000","1980 - 2000","1980 - 2000","2000 - 2005","2000 - 2005","2000 - 2005"
"START","Start","Anfangen","Commencer","Start","Anfangen","Commencer","Start","Anfangen","Commencer"
"CORRECT","Correct!","Richtig!","Correct!","Correct!","Richtig!","Correct!","Correct!","Richtig!","Correct!"
"INCORRECT","Wrong!","Falsch!","Erroné!","Wrong!","Falsch!","Erroné!","Wrong!","Falsch!","Erroné!"
"NEXT","Next","Nächste","Suivant","Next","Nächste","Suivant","Next","Nächste","Suivant"
"HOME","Back","Zurück","Retour","Back","Zurück","Retour","Back","Zurück","Retour"
"RESULTS","Your score:","Dein Score:","Ton Score:","Your score:","Dein Score:","Ton Score:","Your score:","Dein Score:","Ton Score:"
"QUESTION1","What is the name of the first commercially successful console game?","Wie heißt das erste kommerziell erfolgreiche Konsolenspiel?","Comment s’appelle le premier jeu de console commercialement réussi ?","Who was Rudolf Scharping?","Wer war Rudolf Scharping?","Qui était Rudolf Scharping ?","What does Pentarchy mean?","Was bedeutet Pentarchie?","Que signifie « Pentarchie » ?"
"QUESTION1_A","Ping","Ping","Ping","Winner of the 1997 Tour de France.","Gewinner der Tour de France 1997.","Vainqueur du Tour de France 1997.","A 2020 survival-horror video game from Activision.","Ein Survival-Horror-Computerspiel von 2020 aus dem Hause Activision.","Un jeu vidéo de survie-horreur de 2020 signé Activision."
"QUESTION1_B","Pong","Pong","Pong","German Minister of Defence from 1998 to 2002.","Deutscher Verteidigungsminister 1998-2002.","Ministre allemand de la Défense de 1998 à 2002.","Greek for ""rule of five states.""","Griechisch für Herrschaft von fünf Staaten.","Du grec pour « gouvernement de cinq États »."
"QUESTION1_C","Peng","Peng","Peng","Gold medal winner in swimming at the 1996 Summer Olympics in Atlanta.","Gewinner im Schwimmen bei den olympischen Sommerspiele in Atlanta 1996.","Champion olympique de natation aux Jeux d’Atlanta de 1996.","A Germanization of 五国均势体制 (Pān tǎ ěr xī), ""Who wants to avoid war plays it.""","Eindeutschung von 五国均势体制 (Pān tǎ ěr xī), ""Wer Krieg vermeiden will, spielt ihn"".","Une germanisation de 五国均势体制 (Pān tǎ ěr xī), « Qui veut éviter la guerre la joue »."
"QUESTION1_E","Pong was released by Atari in 1972. Using two rotary dials, players bat a pixel ball back and forth as in table tennis. Pong first became popular in arcades and later on home consoles.","Pong wurde 1972 von Atari veröffentlicht. Über zwei Drehregler wird ein Pixel-Ball wie beim Tischtennis hin- und hergeschlagen. Pong wurde zunächst in Spielhallen, dann auf Heimkonsolen populär.","Pong est sorti en 1972 chez Atari. À l’aide de deux molettes, les joueurs renvoient une balle pixelisée comme au tennis de table. Pong a d’abord connu le succès dans les salles d’arcade, puis sur les consoles de salon.","Scharping was the SPD’s chancellor candidate in 1994 and, under the Schröder government, Minister of Defence. Under him, Germany took part in the Kosovo War and, to this day, in the KFOR peacekeeping force.","Scharping war 1994 SPD-Kanzlerkandidat und unter der Regierung Schröder Verteidigungsminister. Unter ihm beteiligte sich Deutschland am Kosovo-Krieg und bis heute an der  KFOR-Schutztruppe.","Scharping fut le candidat chancelier du SPD en 1994 et, sous le gouvernement Schröder, ministre de la Défense. Sous sa responsabilité, l’Allemagne participa à la guerre du Kosovo et, jusqu’à aujourd’hui, à la force de protection KFOR.","Historically, it describes the European balance of power in the 18th and 19th centuries. Today, the political scientist Herfried Münkler uses it for a possible variant of a new global order.","Historisch beschreibt sie das europäische Gleichgewicht der Kräfte im 18. Und 19. Jahrhundert. Heute beschreibt der Politikwissenschaftler Herfried Münkler damit eine Variante für eine neue globale Ordnung.","Historiquement, cela décrit l’équilibre européen des puissances aux XVIIIᵉ et XIXᵉ siècles. Aujourd’hui, le politologue Herfried Münkler l’emploie pour une variante possible d’un nouvel ordre mondial."
"QUESTION2","What does Homo Ludens mean?","Was bedeutet Homo Ludens?","Que signifie Homo Ludens ?","What does the name Lech Wałęsa stand for?","Wofür steht der Name Lech Walesa?","Que désigne le nom Lech Wałęsa ?","What is meant by the INF Treaty?","Was versteht man unter dem INF-Vertrag?","Qu’entend-on par le traité FNI (INF Treaty) ?"
