"keys","en","de","fr"
"TITLE","1980 - 2000","1980 - 2000","1980 - 2000"
"START","Start","Anfangen","Commencer"
"CORRECT","Correct!","Richtig!","Correct!"
"INCORRECT","Wrong!","Falsch!","Erroné!"
"NEXT","Next","Nächste","Suivant"
"HOME","Back","Zurück","Retour"
"RESULTS","Your score:","Dein Score:","Ton Score:"
"QUESTION1","Who was Rudolf Scharping?","Wer war Rudolf Scharping?","Qui était Rudolf Scharping ?"
"QUESTION1_A","Winner of the 1997 Tour de France.","Gewinner der Tour de France 1997.","Vainqueur du Tour de France 1997."
"QUESTION1_B","German Minister of Defence from 1998 to 2002.","Deutscher Verteidigungsminister 1998-2002.","Ministre allemand de la Défense de 1998 à 2002."
"QUESTION1_C","Gold medal winner in swimming at the 1996 Summer Olympics in Atlanta.","Gewinner im Schwimmen bei den olympischen Sommerspiele in Atlanta 1996.","Champion olympique de natation aux Jeux d’Atlanta de 1996."
"QUESTION1_E","Scharping was the SPD’s chancellor candidate in 1994 and, under the Schröder government, Minister of Defence. Under him, Germany took part in the Kosovo War and, to this day, in the KFOR peacekeeping force.","Scharping war 1994 SPD-Kanzlerkandidat und unter der Regierung Schröder Verteidigungsminister. Unter ihm beteiligte sich Deutschland am Kosovo-Krieg und bis heute an der  KFOR-Schutztruppe.","Scharping fut le candidat chancelier du SPD en 1994 et, sous le gouvernement Schröder, ministre de la Défense. Sous sa responsabilité, l’Allemagne participa à la guerre du Kosovo et, jusqu’à aujourd’hui, à la force de protection KFOR."
"QUESTION2","What does the name Lech Wałęsa stand for?","Wofür steht der Name Lech Walesa?","Que désigne le nom Lech Wałęsa ?"
"QUESTION2_A","A stew, similar to borscht.","Eintopf. Ähnlich dem Borschtsch.","Un ragoût, similaire au bortsch."
"QUESTION2_B","A Polish football club from Poznań.","Ein polnischer Fußballverein aus Posen.","Un club de football polonais de Poznań."
"QUESTION2_C","A Polish trade unionist and regime critic.","Ein polnischer Gewerkschafter und Regimekritiker.","Un syndicaliste polonais et opposant au régime."
"QUESTION2_E","Wałęsa was chairman of the independent trade union Solidarność and forced its legalization in 1989. This contributed significantly to the downfall of the socialist regime.","Walesa war Vorsitzende der  unabhängigen Gewerkschaft Solidarnosc und erzwang 1989 ihre Legalisierung. Dies trug maßgeblich zum Sturz des sozialistischen Regimes bei.","Wałęsa fut président du syndicat indépendant Solidarność et imposa sa légalisation en 1989. Cela contribua de manière déterminante à la chute du régime socialiste."
"QUESTION3","What is meant by the Reagan Doctrine?","Was versteht man unter der Reagan Doktrin?","Que comprend-on par la « doctrine Reagan » ?"
"QUESTION3_A","The support of anti-communist guerrilla organizations against the governments of pro-Soviet states.","Die Unterstützung antikommunistischer Guerilla-Organisationen gegen die Regierungen prosowjetischer Staaten.","Le soutien aux organisations de guérilla anticommunistes contre les gouvernements pro-soviétiques."
